Version,Code,Code_description,All_TBI_Codes,TBI_DOD,Mild_TBI,Moderate_TBI,Severe_TBI,Penetrating_TBI,Indeterminate_TBI,TBI_CDC,TBI_2019_VA_ICD10,History_of_TBI,Explicit_Concussion_Mentioned,Other_Head_Injury_Trauma_DOD,All_Head_Skull_Face_Injury
ICD10,S06.813D,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.813S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.814A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.814D,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.814S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.815A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.815D,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.815S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.816A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.816D,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.816S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.817A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.817D,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.817S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.818A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.818D,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.818S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.819A,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.819D,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.819S,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.820A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.820D,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.820S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified without loss of consciousness, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.821A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.821D,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.821S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 30 minutes or less, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.822A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.822D,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.822S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 31 minutes to 59 minutes, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.823A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.823D,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.823S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 1 hour to 5 hours 59 minutes, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.824A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.824D,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.824S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.825A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.825D,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.825S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours with return to pre-existing conscious level, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.826A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.826D,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.826S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.827A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.827D,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.827S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.828A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.828D,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.828S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.829A,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration, initial encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.829D,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration, subsequent encounter",1,0,0,0,0,0,1,0,0,0,0,0,1
ICD10,S06.829S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration, sequela",1,0,0,0,0,0,1,0,0,0,0,0,1
